No_;FST;CMDE;CMDE_LIGNE;REFERENCE;DESIGNATION;TOT_CMDE;Qte_restante;Date_liv;MNT_HT;MNT_TOTAL_HT;MNT_DU
FA2T;A2T;OA1701681;10000;644823-01RD01#;TRAITEMENT THERMIQUE 2;10;10;08/09/2017 00:00;6,5;65;65
FA2T;A2T;OA1701681;20000;644823-01RD01#;CEMENTATION;10;10;31/08/2017 00:00;15;150;150
FA2T;A2T;OA1701857;10000;2010513-03R05;TRAITEMENT THERMIQUE;1;1;24/07/2017 00:00;105;105;105
FA2T;A2T;OA1701857;20000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;195;195;195
FA2T;A2T;OA1701857;30000;2010568-01R03B;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;130;130;130
FA2T;A2T;OA1701857;40000;2010568-02R02B;TRAITEMENT THERMIQUE;1;1;02/08/2017 00:00;130;130;130
FA2T;A2T;OA1701857;50000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;03/08/2017 00:00;195;195;195
FA2T;A2T;OA1701857;60000;2010898-03R06;TRAITEMENT THERMIQUE;1;1;03/08/2017 00:00;195;195;195
FA2T;A2T;OA1701914;10000;644839-01RB01#;TRAITEMENT THERMIQUE;12;1;26/07/2017 00:00;8,75;105;8,75
FA2T;A2T;OA1701914;20000;644845-01R01#;TRAITEMENT THERMIQUE;12;12;26/07/2017 00:00;8,75;105;105
FAIMAT;AI MATERIALS LTD;OA1702158;10000;EB-PLUG-2147181-01;EB-PLUG F/4-1;5;5;09/08/2017 00:00;57,54;287,7;287,7
FAIMAT;AI MATERIALS LTD;OA1702195;10000;17-4 PH AISI 630;EB ARBRE MOTEUR AUMA / 24864R0;2;2;11/08/2017 00:00;158,3;316,6;316,6
FAQUASIGN;AQUASIGN LIMITED;OA1702224;10000;FOURN-00885;ADHESIVE, NON-FLAMMABLE, WATER THIN,;2;2;05/09/2017 00:00;41,84;83,68;83,68
FBECKC;BECK CRESPEL;OA1701944;10000;FOURN-00854;SCREW 12PT 1-1/2-8UN X 5.25 L7 XY BSL3;192;192;18/10/2017 00:00;65,23;12524,16;12524,16
FBECKC;BECK CRESPEL;OA1701340;10000;FOURN-00024;"SCREW 12 PT CAP 1.75-8 X 16.5"" STL  A193 B7 YL PL";160;160;04/09/2017 00:00;35,14;5622,4;5622,4
FBECKC;BECK CRESPEL;OA1701340;20000;FOURN-00024;"SCREW 12 PT CAP 1.75-8 X 16.5"" STL  A193 B7 YL PL";140;140;04/09/2017 00:00;35,14;4919,6;4919,6
FBECKC;BECK CRESPEL;OA1701321;10000;FOURN-00166;SCREW 12PT CAP 1.25-8UN X 2.500 ASTM A193 GR B7 ZN;48;48;31/07/2017 00:00;15,57;747,36;747,36
FBIMET;BI METAL SERVICE;OA1701539;10000;CONSO-14835;EV_E711;1;1;14/06/2017 00:00;360;360;360
FBIMET;BI METAL SERVICE;OA1701539;20000;CONSO-14835;EV_E5;1;1;14/06/2017 00:00;56;56;56
FBIMET;BI METAL SERVICE;OA1701539;30000;CONSO-14835;EV_M1173;1;1;14/06/2017 00:00;8;8;8
FBODYC;BODYCOTE France - FBI;OA1701621;10000;P495858RAM#;NITRURATION;3;3;27/06/2017 00:00;348,14;1044,42;1044,42
FBODYC;BODYCOTE France - FBI;OA1701621;20000;P495858RAM#;NITRURATION;1;1;27/06/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702017;10000;R100544239RAH#;NITRURATION;1;1;21/07/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702017;20000;R100544239RAH#;NITRURATION;1;1;21/07/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1701730;10000;100544239RAH#;NITRURATION;8;1;10/07/2017 00:00;348,14;2785,12;348,14
FBODYC;BODYCOTE France - FBI;OA1702232;10000;RP495858RAM#;NITRURATION;1;1;30/08/2017 00:00;348,14;348,14;348,14
FBODYC;BODYCOTE France - FBI;OA1702232;20000;RP495858RAM#;NITRURATION;1;1;30/08/2017 00:00;348,14;348,14;348,14
FCARCA;CARCASSONNE USINAGE;OA1701991;10000;2163970-01RA01#;USINAGE SEUL;10;10;08/09/2017 00:00;53,7;537;537
